tourn_round_id,course_difficulty
14_2019_14_3,72.07051078117402
14_2019_14_4,72.73168178522585
14_2020_14_1,72.066208932715
14_2020_14_2,72.46869901976828
14_2020_14_3,72.88876947448585
14_2020_14_4,73.281318598405
14_2022_14_1,74.06446086208413
14_2022_14_2,74.7959745886269
14_2022_14_3,75.33715937920985
14_2022_14_4,73.15820017815108
14_2023_14_1,72.33685365958102
14_2023_14_2,73.24446239500188
14_2023_14_3,74.0038969508933
14_2023_14_4,73.56545295203998
14_2024_14_1,73.41291320869635
14_2024_14_2,75.0667444569867
14_2024_14_3,74.54368893773011
14_2024_14_4,72.72447788605172
14_2025_14_1,73.32906396861527
14_2025_14_2,72.42158453634516
14_2025_14_3,72.65815369141507
14_2025_14_4,72.35114683105076
16_2017_656_1,72.45331689052674
16_2017_656_2,72.19092103935424
16_2017_656_3,72.02235431309134
16_2017_656_4,73.19761644517371
16_2018_656_1,73.54573358400333
16_2018_656_2,72.59726995921409
16_2018_656_3,73.03118917763929
16_2018_656_4,72.20043435468675
16_2019_656_1,72.71204862399156
16_2019_656_2,72.76787931783085
16_2019_656_3,72.61160768562436
16_2019_656_4,71.09171835510439
16_2020_656_1,72.67654225232756
16_2020_656_2,73.05626974280827
16_2020_656_3,73.11244351265108
16_2020_656_4,73.93329804361429
16_2021_656_1,70.6511229213648
16_2021_656_2,69.31415144946868
16_2021_656_3,70.02477510753363
16_2021_656_4,71.37823174262053
16_2022_656_1,70.39375014225922
16_2022_656_2,68.59960977062974
16_2022_656_3,68.48964739165211
16_2022_656_4,68.51123291918806
16_2023_656_1,68.8915050525253
16_2023_656_2,70.56739552254894
16_2023_656_3,69.53703278358545
16_2023_656_4,69.21716521902755
16_2024_656_1,69.13737499862651
16_2024_656_2,67.7784924093078
16_2024_656_3,70.7924669708161
16_2024_656_4,66.95896240656735
16_2025_656_1,70.68802027522597
16_2025_656_2,68.07449240139455
16_2025_656_3,67.46095473147233
16_2025_656_4,68.66382434092492
19_2017_19_1,73.02823273047248
19_2017_19_2,71.51810542438352
19_2017_19_3,70.75929679332467
19_2017_19_4,72.53742661841042
19_2018_243_1,69.74360626061437
19_2018_243_2,69.39902935165249
19_2018_243_3,71.47920980202358
19_2018_243_4,68.98992987851554
19_2019_243_1,69.94874622788166
19_2019_243_2,71.03299231503104
19_2019_243_3,68.5510929537556
19_2019_243_4,69.21005136073607
19_2021_894_1,68.49191954199614
19_2021_894_2,70.07827283461717
19_2021_894_3,69.32662920810624
19_2021_894_4,70.29171384029695
19_2022_894_1,70.01163799263249
19_2022_894_2,68.89024085963607
19_2022_894_3,68.59820551372604
19_2022_894_4,68.36443932829087
19_2023_921_1,68.17230887398443
19_2023_921_2,68.86732124757188
19_2023_921_3,68.00467697219887
19_2023_921_4,66.46420380903159
19_2024_921_1,68.05700061572968
19_2024_921_2,67.74963658138773
19_2024_921_3,67.8508606754898
19_2024_921_4,66.81842037906196
19_2025_921_1,67.56049691466609
19_2025_921_2,68.75127872318427
19_2025_921_3,68.41167560421994
19_2025_921_4,67.74935613841146
20_2017_729_1,72.57741410561671
20_2017_729_2,74.03640440246998
20_2017_729_3,75.02267546547567
20_2017_729_4,71.90046027054518
20_2018_729_1,70.54929944782818
20_2018_729_2,71.78910312841705
20_2018_729_3,72.47318173102303
20_2018_729_4,71.38123243982773
20_2019_729_1,71.65651175788
20_2019_729_2,73.38794709129594
20_2019_729_3,72.25618328906549
20_2019_729_4,70.91142153580705
20_2020_897_1,72.57453440813265
20_2020_897_2,71.68037750580397
20_2020_897_3,70.92462266613984
20_2020_897_4,69.37463061021703
